store_id,region,daily_sales,daily_cost,u_r
3,East,"{""[498,1495)""}","{""[298,896)""}",28
3,East,"{""[838,2516)"",""[2627,2640)""}","{""[502,1508)""}",29
3,East,"{""[548,1646)"",""[1716,1731)""}","{""[328,986)""}",30
4,East,"{""[2184,2185)""}","{""[1079,1080)""}",31
4,East,"{""[1731,1732)""}","{""[855,856)""}",32
4,East,"{""[1316,1317)""}","{""[650,651)""}",33
4,East,"{""[1860,1861)""}","{""[919,920)""}",34
4,East,"{""[2153,2154)""}","{""[1063,1064)""}",35
4,East,"{""[1356,1357)""}","{""[670,671)""}",36
4,East,"{""[1726,1727)""}","{""[852,853)""}",37
4,East,"{""[1806,1807)""}","{""[892,893)""}",38
4,East,"{""[2171,2172)""}","{""[1072,1073)""}",39
4,East,"{""[2134,2135)""}","{""[1054,1055)""}",40
5,East,"{""[1969,1970)""}","{""[1164,1165)""}",41
5,East,"{""[1640,1641)""}","{""[970,971)""}",42
5,East,"{""[1925,1926)""}","{""[1139,1140)""}",43
5,East,"{""[1613,1614)""}","{""[954,955)""}",44
5,East,"{""[2164,2165)""}","{""[1280,1281)""}",45
5,East,"{""[1695,1696)""}","{""[1002,1003)""}",46
5,East,"{""[1481,1482)""}","{""[876,877)""}",47
5,East,"{""[1289,1290)""}","{""[762,763)""}",48
5,East,"{""[1244,1245)""}","{""[736,737)""}",49
5,East,"{""[1802,1803)""}","{""[1066,1067)""}",50
6,East,"{""[1580,1581)""}","{""[612,613)""}",51
6,East,"{""[1033,1034)""}","{""[400,401)""}",52
6,East,"{""[1040,1041)""}","{""[403,404)""}",53
6,East,"{""[1009,1010)""}","{""[391,392)""}",54
6,East,"{""[1262,1263)""}","{""[489,490)""}",55
6,East,"{""[1416,1417)""}","{""[549,550)""}",56
6,East,"{""[1218,1219)""}","{""[472,473)""}",57
6,East,"{""[1392,1393)""}","{""[540,541)""}",58
6,East,"{""[1438,1439)""}","{""[557,558)""}",59
6,East,"{""[1593,1594)""}","{""[618,619)""}",60
7,East,"{""[1602,1603)""}","{""[849,850)""}",61
7,East,"{""[1621,1622)""}","{""[859,860)""}",62
7,East,"{""[1114,1115)""}","{""[591,592)""}",63
7,East,"{""[1037,1038)""}","{""[550,551)""}",64
7,East,"{""[1312,1313)""}","{""[695,696)""}",65
7,East,"{""[1306,1307)""}","{""[692,693)""}",66
7,East,"{""[1341,1342)""}","{""[711,712)""}",67
7,East,"{""[1557,1558)""}","{""[825,826)""}",68
7,East,"{""[1511,1512)""}","{""[801,802)""}",69
7,East,"{""[1766,1767)""}","{""[936,937)""}",70
8,East,"{""[259,313)"",""[289,321)""}","{""[14,68)"",""[44,76)""}",71
8,East,"{""[226,274)"",""[281,318)"",""[424,459)""}","{""[0,11)"",""[18,55)"",""[161,196)""}",72
8,East,"{""[300,361)"",""[551,624)""}","{""[0,40)"",""[230,303)""}",73
8,East,"{""[205,235)"",""[469,543)""}","{""[13,43)"",""[277,351)""}",74
8,East,"{""[208,238)"",""[287,362)"",""[383,460)""}","{""[0,1)"",""[31,106)"",""[127,204)""}",75
8,East,"{""[306,385)"",""[387,451)"",""[403,441)""}","{""[55,134)"",""[136,200)"",""[152,190)""}",76
8,East,"{""[340,397)"",""[390,422)"",""[462,495)""}","{""[0,51)"",""[44,76)"",""[116,149)""}",77
8,East,"{""[286,309)"",""[639,679)""}","{""[0,1)"",""[330,370)""}",78
8,East,"{""[250,302)"",""[262,336)""}","{""[0,17)"",""[0,51)""}",79
8,East,"{""[245,290)"",""[470,545)""}","{""[25,70)"",""[250,325)""}",80
9,East,"{""[339,415)""}","{""[229,281)""}",81
9,East,"{""[423,518)""}","{""[286,350)""}",82
9,East,"{""[428,524)""}","{""[289,355)""}",83
9,East,"{""[380,466)""}","{""[257,315)""}",84
9,East,"{""[420,514)""}","{""[284,348)""}",85
9,East,"{""[405,497)""}","{""[274,336)""}",86
9,East,"{""[504,618)""}","{""[341,417)""}",87
9,East,"{""[329,403)""}","{""[222,272)""}",88
9,East,"{""[451,553)""}","{""[306,375)""}",89
9,East,"{""[337,413)""}","{""[227,279)""}",90
10,East,"{""[725,745)"",""[922,981)"",""[1072,1151)""}","{""[149,169)"",""[346,405)"",""[496,575)""}",91
10,East,"{""[1149,1203)"",""[1221,1273)""}","{""[298,352)"",""[370,422)""}",92
10,East,"{""[702,778)"",""[792,835)"",""[812,842)""}","{""[139,215)"",""[229,272)"",""[249,279)""}",93
10,East,"{""[776,838)"",""[1085,1156)"",""[1106,1159)""}","{""[145,207)"",""[454,525)"",""[475,528)""}",94
10,East,"{""[1061,1137)"",""[1070,1106)"",""[1341,1367)""}","{""[281,357)"",""[290,326)"",""[561,587)""}",95
10,East,"{""[710,748)"",""[880,913)""}","{""[210,248)"",""[380,413)""}",96
10,East,"{""[1076,1128)"",""[1292,1352)""}","{""[336,388)"",""[552,612)""}",97
10,East,"{""[850,910)"",""[1019,1092)""}","{""[199,259)"",""[368,441)""}",98
10,East,"{""[740,800)"",""[844,913)""}","{""[173,233)"",""[277,346)""}",99
10,East,"{""[1382,1447)"",""[1479,1527)""}","{""[539,604)"",""[636,684)""}",100
11,East,"{""[801,802)""}","{""[419,420)""}",101
11,East,"{""[1322,1323)""}","{""[692,693)""}",102
11,East,"{""[1335,1336)""}","{""[699,700)""}",103
11,East,"{""[1104,1105)""}","{""[578,579)""}",104
11,East,"{""[1290,1291)""}","{""[676,677)""}",105
11,East,"{""[1128,1129)""}","{""[590,591)""}",106
11,East,"{""[848,849)""}","{""[444,445)""}",107
11,East,"{""[834,835)""}","{""[437,438)""}",108
11,East,"{""[951,952)""}","{""[498,499)""}",109
11,East,"{""[1332,1333)""}","{""[697,698)""}",110
12,East,"{""[2268,2269)""}","{""[1561,1562)""}",111
12,East,"{""[1511,1512)""}","{""[1040,1041)""}",112
12,East,"{""[1554,1555)""}","{""[1070,1071)""}",113
12,East,"{""[1393,1394)""}","{""[959,960)""}",114
12,East,"{""[2137,2138)""}","{""[1471,1472)""}",115
12,East,"{""[2251,2252)""}","{""[1550,1551)""}",116
12,East,"{""[1727,1728)""}","{""[1189,1190)""}",117
12,East,"{""[1962,1963)""}","{""[1351,1352)""}",118
12,East,"{""[1450,1451)""}","{""[998,999)""}",119
12,East,"{""[2302,2303)""}","{""[1584,1585)""}",120
13,East,"{""[1168,3506)"",""[3562,3583)""}","{""[426,1280)""}",121
13,East,"{""[1124,3374)""}","{""[410,1232)""}",122
13,East,"{""[1239,3719)"",""[3990,4015)""}","{""[452,1357)""}",123
13,East,"{""[847,2542)"",""[2619,2653)""}","{""[309,928)""}",124
13,East,"{""[1204,3614)"",""[3720,3742)""}","{""[439,1319)""}",125
13,East,"{""[1172,3517)""}","{""[427,1283)""}",126
13,East,"{""[869,2609)"",""[2717,2741)""}","{""[317,952)""}",127
13,East,"{""[703,2110)""}","{""[256,770)""}",128
13,East,"{""[883,2651)"",""[2948,2975)""}","{""[322,967)""}",129
13,East,"{""[897,2692)"",""[2915,2959)""}","{""[327,982)""}",130
14,East,"{""[1076,1077)""}","{""[727,728)""}",131
14,East,"{""[752,753)""}","{""[508,509)""}",132
14,East,"{""[920,921)""}","{""[621,622)""}",133
14,East,"{""[1132,1133)""}","{""[765,766)""}",134
14,East,"{""[634,635)""}","{""[428,429)""}",135
14,East,"{""[928,929)""}","{""[627,628)""}",136
14,East,"{""[796,797)""}","{""[538,539)""}",137
14,East,"{""[1028,1029)""}","{""[694,695)""}",138
14,East,"{""[844,845)""}","{""[570,571)""}",139
14,East,"{""[1133,1134)""}","{""[765,766)""}",140
15,East,"{""[318,390)""}","{""[144,177)""}",141
15,East,"{""[284,348)""}","{""[128,158)""}",142
15,East,"{""[377,461)""}","{""[170,208)""}",143
15,East,"{""[396,486)""}","{""[179,219)""}",144
15,East,"{""[464,568)""}","{""[209,257)""}",145
15,East,"{""[435,533)""}","{""[197,241)""}",146
15,East,"{""[495,607)""}","{""[224,274)""}",147
15,East,"{""[448,548)""}","{""[202,248)""}",148
15,East,"{""[320,392)""}","{""[144,178)""}",149
15,East,"{""[376,460)""}","{""[169,207)""}",150
16,East,"{""[1246,1524)""}","{""[832,1018)""}",151
16,East,"{""[1696,2074)""}","{""[1133,1385)""}",152
16,East,"{""[1588,1942)""}","{""[1061,1297)""}",153
16,East,"{""[1235,1511)""}","{""[825,1009)""}",154
16,East,"{""[1242,1520)""}","{""[829,1015)""}",155
16,East,"{""[1326,1622)""}","{""[885,1083)""}",156
16,East,"{""[1321,1615)""}","{""[882,1079)""}",157
16,East,"{""[1231,1505)""}","{""[822,1006)""}",158
16,East,"{""[1089,1333)""}","{""[727,889)""}",159
16,East,"{""[1336,1634)""}","{""[892,1092)""}",160
17,East,"{""[1043,1044)""}","{""[595,596)""}",161
17,East,"{""[859,860)""}","{""[490,491)""}",162
17,East,"{""[1004,1005)""}","{""[573,574)""}",163
17,East,"{""[683,684)""}","{""[390,391)""}",164
17,East,"{""[851,852)""}","{""[485,486)""}",165
17,East,"{""[934,935)""}","{""[533,534)""}",166
17,East,"{""[1022,1023)""}","{""[583,584)""}",167
17,East,"{""[1066,1067)""}","{""[608,609)""}",168
17,East,"{""[955,956)""}","{""[545,546)""}",169
17,East,"{""[942,943)""}","{""[537,538)""}",170
18,East,"{""[395,1186)"",""[1279,1294)""}","{""[199,598)""}",171
18,East,"{""[277,832)"",""[1040,1071)""}","{""[139,419)""}",172
18,East,"{""[240,722)"",""[832,861)""}","{""[121,364)""}",173
18,East,"{""[265,797)""}","{""[133,401)""}",174
18,East,"{""[227,683)""}","{""[114,344)""}",175
18,East,"{""[313,941)"",""[1009,1048)""}","{""[158,475)""}",176
18,East,"{""[302,907)"",""[1006,1040)""}","{""[152,457)""}",177
18,East,"{""[317,952)""}","{""[159,479)""}",178
18,East,"{""[348,1045)""}","{""[175,527)""}",179
18,East,"{""[366,1099)"",""[1176,1213)""}","{""[184,554)""}",180
19,East,"{""[516,565)"",""[739,774)""}","{""[103,152)"",""[326,361)""}",181
19,East,"{""[467,547)"",""[591,649)"",""[646,699)""}","{""[148,228)"",""[272,330)"",""[327,380)""}",182
19,East,"{""[805,852)"",""[860,932)"",""[915,992)""}","{""[333,380)"",""[388,460)"",""[443,520)""}",183
19,East,"{""[657,724)"",""[708,776)"",""[819,867)""}","{""[167,234)"",""[218,286)"",""[329,377)""}",184
19,East,"{""[615,666)"",""[669,704)"",""[741,810)""}","{""[268,319)"",""[322,357)"",""[394,463)""}",185
19,East,"{""[480,517)"",""[725,763)""}","{""[126,163)"",""[371,409)""}",186
19,East,"{""[454,483)"",""[502,546)""}","{""[85,114)"",""[133,177)""}",187
19,East,"{""[555,601)"",""[731,772)""}","{""[98,144)"",""[274,315)""}",188
19,East,"{""[495,528)"",""[679,723)"",""[858,915)""}","{""[76,109)"",""[260,304)"",""[439,496)""}",189
19,East,"{""[815,865)"",""[1012,1068)""}","{""[296,346)"",""[493,549)""}",190
20,East,"{""[244,245)""}","{""[164,165)""}",191
20,East,"{""[256,257)""}","{""[173,174)""}",192
20,East,"{""[269,270)""}","{""[181,182)""}",193
20,East,"{""[201,202)""}","{""[136,137)""}",194
20,East,"{""[243,244)""}","{""[164,165)""}",195
20,East,"{""[217,218)""}","{""[146,147)""}",196
20,East,"{""[225,226)""}","{""[151,152)""}",197
20,East,"{""[176,177)""}","{""[119,120)""}",198
20,East,"{""[176,177)""}","{""[118,119)""}",199
20,East,"{""[203,204)""}","{""[137,138)""}",200
21,West,"{""[151,210)"",""[325,403)"",""[456,486)""}","{""[0,53)"",""[168,246)"",""[299,329)""}",201
21,West,"{""[106,167)"",""[367,423)"",""[403,424)""}","{""[0,22)"",""[222,278)"",""[258,279)""}",202
21,West,"{""[140,163)"",""[180,224)"",""[214,247)""}","{""[4,27)"",""[44,88)"",""[78,111)""}",203
21,West,"{""[245,282)"",""[436,516)"",""[440,516)""}","{""[107,144)"",""[298,378)"",""[302,378)""}",204
21,West,"{""[119,186)"",""[151,201)"",""[386,409)""}","{""[0,16)"",""[0,31)"",""[216,239)""}",205
21,West,"{""[171,240)"",""[250,311)"",""[469,491)""}","{""[0,56)"",""[66,127)"",""[285,307)""}",206
21,West,"{""[108,167)"",""[200,273)""}","{""[0,3)"",""[36,109)""}",207
21,West,"{""[62,118)"",""[246,308)""}","{""[0,6)"",""[134,196)""}",208
21,West,"{""[213,271)"",""[486,522)"",""[520,563)""}","{""[33,91)"",""[306,342)"",""[340,383)""}",209
21,West,"{""[158,197)"",""[473,545)""}","{""[7,46)"",""[322,394)""}",210
22,West,"{""[440,441)""}","{""[233,234)""}",211
22,West,"{""[524,525)""}","{""[277,278)""}",212
22,West,"{""[389,390)""}","{""[206,207)""}",213
22,West,"{""[532,533)""}","{""[282,283)""}",214
22,West,"{""[344,345)""}","{""[182,183)""}",215
22,West,"{""[444,445)""}","{""[235,236)""}",216
22,West,"{""[504,505)""}","{""[267,268)""}",217
22,West,"{""[356,357)""}","{""[188,189)""}",218
22,West,"{""[470,471)""}","{""[249,250)""}",219
22,West,"{""[370,371)""}","{""[196,197)""}",220
23,West,"{""[1885,1886)""}","{""[1017,1018)""}",221
23,West,"{""[1664,1665)""}","{""[898,899)""}",222
23,West,"{""[1160,1161)""}","{""[626,627)""}",223
23,West,"{""[1632,1633)""}","{""[880,881)""}",224
23,West,"{""[1756,1757)""}","{""[947,948)""}",225
23,West,"{""[1186,1187)""}","{""[640,641)""}",226
23,West,"{""[1742,1743)""}","{""[940,941)""}",227
23,West,"{""[1132,1133)""}","{""[611,612)""}",228
23,West,"{""[1524,1525)""}","{""[822,823)""}",229
23,West,"{""[1591,1592)""}","{""[858,859)""}",230
24,West,"{""[1364,1395)"",""[1504,1533)"",""[1517,1570)""}","{""[939,970)"",""[1079,1108)"",""[1092,1145)""}",231
24,West,"{""[1437,1486)"",""[1465,1534)"",""[1505,1576)""}","{""[997,1046)"",""[1025,1094)"",""[1065,1136)""}",232
24,West,"{""[888,925)"",""[969,1042)"",""[1009,1083)""}","{""[558,595)"",""[639,712)"",""[679,753)""}",233
24,West,"{""[1426,1485)"",""[1519,1568)""}","{""[1004,1063)"",""[1097,1146)""}",234
24,West,"{""[1010,1061)"",""[1162,1193)"",""[1245,1278)""}","{""[631,682)"",""[783,814)"",""[866,899)""}",235
24,West,"{""[933,988)"",""[966,1003)"",""[1097,1161)""}","{""[619,674)"",""[652,689)"",""[783,847)""}",236
24,West,"{""[610,645)"",""[935,981)""}","{""[367,402)"",""[692,738)""}",237
24,West,"{""[1209,1274)"",""[1232,1282)""}","{""[867,932)"",""[890,940)""}",238
24,West,"{""[928,966)"",""[994,1039)""}","{""[585,623)"",""[651,696)""}",239
24,West,"{""[1200,1250)"",""[1295,1348)"",""[1351,1408)""}","{""[816,866)"",""[911,964)"",""[967,1024)""}",240
25,West,"{""[859,893)"",""[869,908)"",""[1090,1139)""}","{""[365,399)"",""[375,414)"",""[596,645)""}",241
25,West,"{""[659,686)"",""[878,932)""}","{""[289,316)"",""[508,562)""}",242
25,West,"{""[1046,1079)"",""[1326,1376)""}","{""[437,470)"",""[717,767)""}",243
25,West,"{""[633,706)"",""[681,719)"",""[698,741)""}","{""[219,292)"",""[267,305)"",""[284,327)""}",244
25,West,"{""[594,631)"",""[892,946)""}","{""[207,244)"",""[505,559)""}",245
25,West,"{""[740,778)"",""[814,894)""}","{""[392,430)"",""[466,546)""}",246
25,West,"{""[507,563)"",""[553,628)"",""[646,696)""}","{""[135,191)"",""[181,256)"",""[274,324)""}",247
25,West,"{""[786,809)"",""[821,901)"",""[936,963)""}","{""[313,336)"",""[348,428)"",""[463,490)""}",248
25,West,"{""[1129,1153)"",""[1173,1233)"",""[1229,1252)""}","{""[558,582)"",""[602,662)"",""[658,681)""}",249
25,West,"{""[558,593)"",""[575,630)"",""[906,952)""}","{""[179,214)"",""[196,251)"",""[527,573)""}",250
26,West,"{""[1082,1324)""}","{""[582,712)""}",251
26,West,"{""[1314,1607)""}","{""[706,864)""}",252
26,West,"{""[1258,1538)""}","{""[675,827)""}",253
26,West,"{""[1251,1531)""}","{""[673,823)""}",254
26,West,"{""[1576,1928)""}","{""[847,1037)""}",255
26,West,"{""[1677,2051)""}","{""[901,1103)""}",256
26,West,"{""[1144,1400)""}","{""[615,753)""}",257
26,West,"{""[1390,1700)""}","{""[747,915)""}",258
26,West,"{""[1381,1689)""}","{""[742,908)""}",259
26,West,"{""[1483,1813)""}","{""[797,975)""}",260
27,West,"{""[1513,1514)""}","{""[579,580)""}",261
27,West,"{""[1319,1320)""}","{""[505,506)""}",262
27,West,"{""[1486,1487)""}","{""[569,570)""}",263
27,West,"{""[1816,1817)""}","{""[696,697)""}",264
27,West,"{""[1398,1399)""}","{""[535,536)""}",265
27,West,"{""[1665,1666)""}","{""[637,638)""}",266
27,West,"{""[1962,1963)""}","{""[751,752)""}",267
27,West,"{""[1730,1731)""}","{""[662,663)""}",268
27,West,"{""[1267,1268)""}","{""[485,486)""}",269
27,West,"{""[1537,1538)""}","{""[589,590)""}",270
28,West,"{""[520,636)""}","{""[301,369)""}",271
28,West,"{""[588,720)""}","{""[341,417)""}",272
28,West,"{""[601,735)""}","{""[349,427)""}",273
28,West,"{""[823,1007)""}","{""[477,584)""}",274
28,West,"{""[738,903)""}","{""[428,524)""}",275
28,West,"{""[828,1014)""}","{""[480,588)""}",276
28,West,"{""[573,701)""}","{""[333,408)""}",277
28,West,"{""[538,658)""}","{""[312,382)""}",278
28,West,"{""[585,716)""}","{""[339,415)""}",279
28,West,"{""[552,676)""}","{""[320,392)""}",280
29,West,"{""[547,548)""}","{""[345,346)""}",281
29,West,"{""[874,875)""}","{""[551,552)""}",282
29,West,"{""[786,787)""}","{""[495,496)""}",283
29,West,"{""[888,889)""}","{""[560,561)""}",284
29,West,"{""[932,933)""}","{""[587,588)""}",285
29,West,"{""[716,717)""}","{""[451,452)""}",286
29,West,"{""[730,731)""}","{""[460,461)""}",287
29,West,"{""[656,657)""}","{""[413,414)""}",288
29,West,"{""[700,701)""}","{""[441,442)""}",289
29,West,"{""[642,643)""}","{""[404,405)""}",290
30,West,"{""[1381,1382)""}","{""[687,688)""}",291
30,West,"{""[1609,1610)""}","{""[800,801)""}",292
30,West,"{""[1488,1489)""}","{""[740,741)""}",293
30,West,"{""[1386,1387)""}","{""[689,690)""}",294
30,West,"{""[933,934)""}","{""[464,465)""}",295
30,West,"{""[1092,1093)""}","{""[543,544)""}",296
30,West,"{""[1441,1442)""}","{""[716,717)""}",297
30,West,"{""[1587,1588)""}","{""[789,790)""}",298
30,West,"{""[1373,1374)""}","{""[682,683)""}",299
30,West,"{""[929,930)""}","{""[462,463)""}",300
31,West,"{""[1846,1847)""}","{""[1049,1050)""}",301
31,West,"{""[2044,2045)""}","{""[1162,1163)""}",302
31,West,"{""[1421,1422)""}","{""[808,809)""}",303
31,West,"{""[1786,1787)""}","{""[1015,1016)""}",304
31,West,"{""[1704,1705)""}","{""[969,970)""}",305
31,West,"{""[1530,1531)""}","{""[870,871)""}",306
31,West,"{""[2292,2293)""}","{""[1303,1304)""}",307
31,West,"{""[1698,1699)""}","{""[965,966)""}",308
31,West,"{""[2098,2099)""}","{""[1193,1194)""}",309
31,West,"{""[2263,2264)""}","{""[1286,1287)""}",310
32,West,"{""[1037,1038)""}","{""[455,456)""}",311
32,West,"{""[886,887)""}","{""[389,390)""}",312
32,West,"{""[925,926)""}","{""[406,407)""}",313
32,West,"{""[1100,1101)""}","{""[482,483)""}",314
32,West,"{""[1158,1159)""}","{""[508,509)""}",315
32,West,"{""[1275,1276)""}","{""[559,560)""}",316
32,West,"{""[1092,1093)""}","{""[479,480)""}",317
32,West,"{""[1343,1344)""}","{""[589,590)""}",318
32,West,"{""[838,839)""}","{""[368,369)""}",319
32,West,"{""[874,875)""}","{""[383,384)""}",320
33,West,"{""[337,1012)"",""[1062,1106)""}","{""[144,434)""}",321
33,West,"{""[349,1049)""}","{""[149,449)""}",322
33,West,"{""[361,1085)"",""[1262,1312)""}","{""[155,466)""}",323
33,West,"{""[345,1037)""}","{""[148,445)""}",324
33,West,"{""[307,923)""}","{""[132,397)""}",325
33,West,"{""[312,937)"",""[1111,1128)""}","{""[133,401)""}",326
33,West,"{""[256,770)"",""[1024,1049)""}","{""[110,331)""}",327
33,West,"{""[403,1210)""}","{""[172,518)""}",328
33,West,"{""[253,761)""}","{""[108,326)""}",329
33,West,"{""[298,896)"",""[975,1014)""}","{""[128,385)""}",330
34,West,"{""[439,440)""}","{""[244,245)""}",331
34,West,"{""[497,498)""}","{""[276,277)""}",332
34,West,"{""[442,443)""}","{""[246,247)""}",333
34,West,"{""[380,381)""}","{""[211,212)""}",334
34,West,"{""[528,529)""}","{""[294,295)""}",335
34,West,"{""[566,567)""}","{""[315,316)""}",336
34,West,"{""[372,373)""}","{""[207,208)""}",337
34,West,"{""[453,454)""}","{""[252,253)""}",338
34,West,"{""[409,410)""}","{""[227,228)""}",339
34,West,"{""[551,552)""}","{""[307,308)""}",340
35,West,"{""[1510,1511)""}","{""[904,905)""}",341
35,West,"{""[1073,1074)""}","{""[642,643)""}",342
35,West,"{""[1455,1456)""}","{""[871,872)""}",343
35,West,"{""[1176,1177)""}","{""[704,705)""}",344
35,West,"{""[1563,1564)""}","{""[935,936)""}",345
35,West,"{""[1245,1246)""}","{""[745,746)""}",346
35,West,"{""[1478,1479)""}","{""[884,885)""}",347
35,West,"{""[1078,1079)""}","{""[645,646)""}",348
35,West,"{""[1090,1091)""}","{""[652,653)""}",349
35,West,"{""[1304,1305)""}","{""[780,781)""}",350
36,West,"{""[1501,1502)""}","{""[744,745)""}",351
36,West,"{""[1536,1537)""}","{""[761,762)""}",352
36,West,"{""[1395,1396)""}","{""[691,692)""}",353
36,West,"{""[1795,1796)""}","{""[890,891)""}",354
36,West,"{""[1436,1437)""}","{""[712,713)""}",355
36,West,"{""[1953,1954)""}","{""[968,969)""}",356
36,West,"{""[1894,1895)""}","{""[939,940)""}",357
36,West,"{""[1998,1999)""}","{""[990,991)""}",358
36,West,"{""[1307,1308)""}","{""[648,649)""}",359
36,West,"{""[1442,1443)""}","{""[715,716)""}",360
37,West,"{""[1739,1740)""}","{""[1061,1062)""}",361
37,West,"{""[1921,1922)""}","{""[1171,1172)""}",362
37,West,"{""[2437,2438)""}","{""[1486,1487)""}",363
37,West,"{""[1813,1814)""}","{""[1106,1107)""}",364
37,West,"{""[2525,2526)""}","{""[1540,1541)""}",365
37,West,"{""[2295,2296)""}","{""[1399,1400)""}",366
37,West,"{""[2131,2132)""}","{""[1299,1300)""}",367
37,West,"{""[1545,1546)""}","{""[942,943)""}",368
37,West,"{""[2497,2498)""}","{""[1523,1524)""}",369
37,West,"{""[1515,1516)""}","{""[923,924)""}",370
38,West,"{""[1724,1725)""}","{""[745,746)""}",371
38,West,"{""[1357,1358)""}","{""[587,588)""}",372
38,West,"{""[1429,1430)""}","{""[618,619)""}",373
38,West,"{""[1371,1372)""}","{""[593,594)""}",374
38,West,"{""[1595,1596)""}","{""[690,691)""}",375
38,West,"{""[1331,1332)""}","{""[576,577)""}",376
38,West,"{""[1538,1539)""}","{""[665,666)""}",377
38,West,"{""[1116,1117)""}","{""[482,483)""}",378
38,West,"{""[1382,1383)""}","{""[597,598)""}",379
38,West,"{""[1804,1805)""}","{""[780,781)""}",380
39,West,"{""[875,1071)""}","{""[480,588)""}",381
39,West,"{""[972,1190)""}","{""[533,653)""}",382
39,West,"{""[972,1190)""}","{""[533,653)""}",383
39,West,"{""[976,1194)""}","{""[535,655)""}",384
39,West,"{""[745,911)""}","{""[408,500)""}",385
39,West,"{""[714,874)""}","{""[392,480)""}",386
39,West,"{""[909,1112)""}","{""[498,610)""}",387
39,West,"{""[927,1135)""}","{""[509,623)""}",388
39,West,"{""[982,1202)""}","{""[539,659)""}",389
39,West,"{""[579,709)""}","{""[317,389)""}",390
40,West,"{""[447,473)"",""[607,632)""}","{""[188,214)"",""[348,373)""}",391
40,West,"{""[420,450)"",""[548,587)""}","{""[180,210)"",""[308,347)""}",392
40,West,"{""[250,288)"",""[388,458)""}","{""[0,31)"",""[131,201)""}",393
40,West,"{""[185,220)"",""[382,428)"",""[400,463)""}","{""[0,30)"",""[192,238)"",""[210,273)""}",394
40,West,"{""[288,313)"",""[511,586)""}","{""[45,70)"",""[268,343)""}",395
40,West,"{""[370,448)"",""[414,443)""}","{""[177,255)"",""[221,250)""}",396
40,West,"{""[320,356)"",""[323,400)"",""[426,446)""}","{""[146,182)"",""[149,226)"",""[252,272)""}",397
40,West,"{""[133,181)"",""[272,329)""}","{""[0,1)"",""[92,149)""}",398
40,West,"{""[253,285)"",""[332,406)"",""[452,488)""}","{""[70,102)"",""[149,223)"",""[269,305)""}",399
40,West,"{""[295,330)"",""[424,480)"",""[436,492)""}","{""[26,61)"",""[155,211)"",""[167,223)""}",400
41,North,"{""[574,575)""}","{""[400,401)""}",401
